"Story","Title","Result","Date","Stability","Duration (s)"
"Articles page","verify the Article page by claiming the tokens","FAILURE","2019-08-20T21:14:42.296+05:30[Asia/Calcutta]","0.0","308.88"
"Articles page","Verify the story details on story_log table for Social user type","FAILURE","2019-08-20T21:26:31.76+05:30[Asia/Calcutta]","0.0","105.51"
"Articles page","Verify the story details on story_log table for Silver user type","FAILURE","2019-08-20T21:28:17.404+05:30[Asia/Calcutta]","0.0","145.03"
"Contest entry","Verify Registration and First search contest entry for Fully registered user","FAILURE","2019-08-20T21:30:44.481+05:30[Asia/Calcutta]","0.0","173.62"
"Contest entry","Verify Registration and First search contest entry for social user","FAILURE","2019-08-20T21:36:41.569+05:30[Asia/Calcutta]","0.0","77.1"
"Contest entry","Verify when user makes multiple searches with different contest entry","FAILURE","2019-08-20T21:37:58.819+05:30[Asia/Calcutta]","0.0","45.79"
"High risk","Verify the display of the Rapid search light box","FAILURE","2019-08-20T21:46:50.278+05:30[Asia/Calcutta]","0.0","190.46"
"Optin","Verify the Optin light box when user has already been checked it when do registration","FAILURE","2019-08-20T21:59:41.166+05:30[Asia/Calcutta]","0.0","48.54"
"Lottery","Verify Lottery Past Results page","FAILURE","2019-08-20T22:09:01.446+05:30[Asia/Calcutta]","0.0","70.39"
"Lottery","Verify Lottery Pay Results page","FAILURE","2019-08-20T22:10:11.963+05:30[Asia/Calcutta]","0.0","49.6"
"Homepage","verify the info pages","FAILURE","2019-08-20T22:34:08.167+05:30[Asia/Calcutta]","0.0","46.89"
"Sams banner","Verify the SAMS banner on homepage","FAILURE","2019-08-20T22:34:56.832+05:30[Asia/Calcutta]","0.0","178.04"
"Sweep stakes","Play and verify sweepstakes on Homepage.","FAILURE","2019-08-20T22:53:26.259+05:30[Asia/Calcutta]","0.0","227.43"
"Videos","Verify the video details on video_log table for Social user type","FAILURE","2019-08-20T23:33:37.738+05:30[Asia/Calcutta]","0.0","263.15"
"Token queue","Verify token queue by making the an invalid api details","FAILURE","2019-08-21T00:27:48.762+05:30[Asia/Calcutta]","0.0","504.1"
"Rewards update","Create the full reg user and verify the rewards update","FAILURE","2019-08-21T00:37:39.743+05:30[Asia/Calcutta]","0.0","71.98"
"Silver reg","Verify the complete registration functionality for Silver user type","FAILURE","2019-08-21T00:45:09.485+05:30[Asia/Calcutta]","0.0","271.91"
"Silver reg","Do a search and verify the complete registration functionality for Silver user type","FAILURE","2019-08-21T00:49:41.523+05:30[Asia/Calcutta]","0.0","159.96"
"Social reg","Verify the complete registration functionality for Social user type","FAILURE","2019-08-21T00:52:22.965+05:30[Asia/Calcutta]","0.0","204.71"
"Social reg","Do a search and verify the complete registration functionality for Social user type","FAILURE","2019-08-21T00:55:47.798+05:30[Asia/Calcutta]","0.0","158.06"
"Weather","Verify the Hourly Forecast section details with Ad refresh","FAILURE","2019-08-21T01:10:46.888+05:30[Asia/Calcutta]","0.0","119.73"
